Veiculo ID: 51 | Cor: Azul | Tipo: SEDAN | Estacao: 0 | Funcionario: 0 | Pos_Esteira_Fabrica: 10 | Loja: 2 | Pos_Esteira_Loja: 0
Veiculo ID: 52 | Cor: Vermelho | Tipo: SEDAN | Estacao: 0 | Funcionario: 3 | Pos_Esteira_Fabrica: 11 | Loja: 2 | Pos_Esteira_Loja: 1
Veiculo ID: 53 | Cor: Verde | Tipo: SEDAN | Estacao: 1 | Funcionario: 2 | Pos_Esteira_Fabrica: 12 | Loja: 2 | Pos_Esteira_Loja: 2
Veiculo ID: 55 | Cor: Vermelho | Tipo: SEDAN | Estacao: 0 | Funcionario: 3 | Pos_Esteira_Fabrica: 13 | Loja: 2 | Pos_Esteira_Loja: 3
Veiculo ID: 54 | Cor: Azul | Tipo: SUV | Estacao: 0 | Funcionario: 0 | Pos_Esteira_Fabrica: 14 | Loja: 2 | Pos_Esteira_Loja: 4
Veiculo ID: 56 | Cor: Verde | Tipo: SEDAN | Estacao: 1 | Funcionario: 2 | Pos_Esteira_Fabrica: 15 | Loja: 2 | Pos_Esteira_Loja: 5
Veiculo ID: 57 | Cor: Azul | Tipo: SUV | Estacao: 0 | Funcionario: 3 | Pos_Esteira_Fabrica: 16 | Loja: 2 | Pos_Esteira_Loja: 6
Veiculo ID: 58 | Cor: Vermelho | Tipo: SEDAN | Estacao: 0 | Funcionario: 0 | Pos_Esteira_Fabrica: 17 | Loja: 2 | Pos_Esteira_Loja: 7
Veiculo ID: 59 | Cor: Verde | Tipo: SUV | Estacao: 1 | Funcionario: 2 | Pos_Esteira_Fabrica: 18 | Loja: 2 | Pos_Esteira_Loja: 8
Veiculo ID: 60 | Cor: Azul | Tipo: SUV | Estacao: 0 | Funcionario: 3 | Pos_Esteira_Fabrica: 19 | Loja: 2 | Pos_Esteira_Loja: 9
Veiculo ID: 61 | Cor: Vermelho | Tipo: SEDAN | Estacao: 0 | Funcionario: 0 | Pos_Esteira_Fabrica: 20 | Loja: 2 | Pos_Esteira_Loja: 10
Veiculo ID: 62 | Cor: Verde | Tipo: SEDAN | Estacao: 1 | Funcionario: 2 | Pos_Esteira_Fabrica: 21 | Loja: 2 | Pos_Esteira_Loja: 11
Veiculo ID: 63 | Cor: Azul | Tipo: SEDAN | Estacao: 0 | Funcionario: 3 | Pos_Esteira_Fabrica: 22 | Loja: 2 | Pos_Esteira_Loja: 12
Veiculo ID: 64 | Cor: Vermelho | Tipo: SEDAN | Estacao: 0 | Funcionario: 0 | Pos_Esteira_Fabrica: 23 | Loja: 2 | Pos_Esteira_Loja: 13
Veiculo ID: 65 | Cor: Verde | Tipo: SEDAN | Estacao: 1 | Funcionario: 2 | Pos_Esteira_Fabrica: 24 | Loja: 2 | Pos_Esteira_Loja: 14
Veiculo ID: 66 | Cor: Azul | Tipo: SUV | Estacao: 0 | Funcionario: 3 | Pos_Esteira_Fabrica: 25 | Loja: 2 | Pos_Esteira_Loja: 15
Veiculo ID: 67 | Cor: Vermelho | Tipo: SEDAN | Estacao: 0 | Funcionario: 0 | Pos_Esteira_Fabrica: 26 | Loja: 2 | Pos_Esteira_Loja: 16
Veiculo ID: 68 | Cor: Verde | Tipo: SUV | Estacao: 1 | Funcionario: 2 | Pos_Esteira_Fabrica: 27 | Loja: 2 | Pos_Esteira_Loja: 17
Veiculo ID: 69 | Cor: Azul | Tipo: SUV | Estacao: 0 | Funcionario: 3 | Pos_Esteira_Fabrica: 28 | Loja: 2 | Pos_Esteira_Loja: 18
Veiculo ID: 70 | Cor: Vermelho | Tipo: SUV | Estacao: 0 | Funcionario: 0 | Pos_Esteira_Fabrica: 29 | Loja: 2 | Pos_Esteira_Loja: 19
