Cliente 7 comprou: Veiculo ID: 102 | Cor: Azul | Tipo: SEDAN | Estacao: 0 | Funcionario: 3 | Pos_Esteira_Fabrica: 20 | Loja: 3 | Pos_Esteira_Loja: 0
Cliente 1 comprou: Veiculo ID: 101 | Cor: Verde | Tipo: SUV | Estacao: 1 | Funcionario: 2 | Pos_Esteira_Fabrica: 21 | Loja: 3 | Pos_Esteira_Loja: 1
Cliente 11 comprou: Veiculo ID: 103 | Cor: Vermelho | Tipo: SEDAN | Estacao: 0 | Funcionario: 0 | Pos_Esteira_Fabrica: 22 | Loja: 3 | Pos_Esteira_Loja: 2
Cliente 12 comprou: Veiculo ID: 105 | Cor: Azul | Tipo: SEDAN | Estacao: 1 | Funcionario: 2 | Pos_Esteira_Fabrica: 23 | Loja: 3 | Pos_Esteira_Loja: 3
Cliente 13 comprou: Veiculo ID: 104 | Cor: Verde | Tipo: SUV | Estacao: 0 | Funcionario: 3 | Pos_Esteira_Fabrica: 24 | Loja: 3 | Pos_Esteira_Loja: 4
Cliente 2 comprou: Veiculo ID: 106 | Cor: Vermelho | Tipo: SEDAN | Estacao: 0 | Funcionario: 0 | Pos_Esteira_Fabrica: 25 | Loja: 3 | Pos_Esteira_Loja: 5
Cliente 15 comprou: Veiculo ID: 107 | Cor: Verde | Tipo: SEDAN | Estacao: 1 | Funcionario: 2 | Pos_Esteira_Fabrica: 26 | Loja: 3 | Pos_Esteira_Loja: 6
Cliente 17 comprou: Veiculo ID: 108 | Cor: Azul | Tipo: SEDAN | Estacao: 0 | Funcionario: 3 | Pos_Esteira_Fabrica: 27 | Loja: 3 | Pos_Esteira_Loja: 7
Cliente 18 comprou: Veiculo ID: 109 | Cor: Vermelho | Tipo: SEDAN | Estacao: 0 | Funcionario: 0 | Pos_Esteira_Fabrica: 28 | Loja: 3 | Pos_Esteira_Loja: 8
Cliente 11 comprou: Veiculo ID: 110 | Cor: Verde | Tipo: SEDAN | Estacao: 1 | Funcionario: 2 | Pos_Esteira_Fabrica: 29 | Loja: 3 | Pos_Esteira_Loja: 9
Cliente 19 comprou: Veiculo ID: 111 | Cor: Azul | Tipo: SEDAN | Estacao: 0 | Funcionario: 3 | Pos_Esteira_Fabrica: 30 | Loja: 3 | Pos_Esteira_Loja: 10
Cliente 7 comprou: Veiculo ID: 112 | Cor: Vermelho | Tipo: SEDAN | Estacao: 0 | Funcionario: 0 | Pos_Esteira_Fabrica: 31 | Loja: 3 | Pos_Esteira_Loja: 11
Cliente 20 comprou: Veiculo ID: 113 | Cor: Verde | Tipo: SUV | Estacao: 1 | Funcionario: 2 | Pos_Esteira_Fabrica: 32 | Loja: 3 | Pos_Esteira_Loja: 12
Cliente 3 comprou: Veiculo ID: 114 | Cor: Azul | Tipo: SUV | Estacao: 0 | Funcionario: 3 | Pos_Esteira_Fabrica: 33 | Loja: 3 | Pos_Esteira_Loja: 13
Cliente 17 comprou: Veiculo ID: 115 | Cor: Vermelho | Tipo: SEDAN | Estacao: 0 | Funcionario: 0 | Pos_Esteira_Fabrica: 34 | Loja: 3 | Pos_Esteira_Loja: 14
Cliente 9 comprou: Veiculo ID: 116 | Cor: Verde | Tipo: SUV | Estacao: 1 | Funcionario: 2 | Pos_Esteira_Fabrica: 35 | Loja: 3 | Pos_Esteira_Loja: 15
Cliente 5 comprou: Veiculo ID: 117 | Cor: Azul | Tipo: SEDAN | Estacao: 0 | Funcionario: 3 | Pos_Esteira_Fabrica: 36 | Loja: 3 | Pos_Esteira_Loja: 16
Cliente 19 comprou: Veiculo ID: 118 | Cor: Vermelho | Tipo: SUV | Estacao: 0 | Funcionario: 0 | Pos_Esteira_Fabrica: 37 | Loja: 3 | Pos_Esteira_Loja: 17
Cliente 7 comprou: Veiculo ID: 119 | Cor: Verde | Tipo: SUV | Estacao: 1 | Funcionario: 2 | Pos_Esteira_Fabrica: 38 | Loja: 3 | Pos_Esteira_Loja: 18
Cliente 20 comprou: Veiculo ID: 120 | Cor: Azul | Tipo: SEDAN | Estacao: 0 | Funcionario: 3 | Pos_Esteira_Fabrica: 39 | Loja: 3 | Pos_Esteira_Loja: 19
Cliente 18 comprou: Veiculo ID: 121 | Cor: Vermelho | Tipo: SUV | Estacao: 0 | Funcionario: 0 | Pos_Esteira_Fabrica: 0 | Loja: 3 | Pos_Esteira_Loja: 20
Cliente 15 comprou: Veiculo ID: 122 | Cor: Verde | Tipo: SEDAN | Estacao: 1 | Funcionario: 2 | Pos_Esteira_Fabrica: 1 | Loja: 3 | Pos_Esteira_Loja: 21
Cliente 8 comprou: Veiculo ID: 123 | Cor: Azul | Tipo: SEDAN | Estacao: 0 | Funcionario: 3 | Pos_Esteira_Fabrica: 2 | Loja: 3 | Pos_Esteira_Loja: 22
Cliente 15 comprou: Veiculo ID: 124 | Cor: Vermelho | Tipo: SEDAN | Estacao: 0 | Funcionario: 0 | Pos_Esteira_Fabrica: 3 | Loja: 3 | Pos_Esteira_Loja: 23
Cliente 8 comprou: Veiculo ID: 125 | Cor: Verde | Tipo: SEDAN | Estacao: 1 | Funcionario: 2 | Pos_Esteira_Fabrica: 4 | Loja: 3 | Pos_Esteira_Loja: 24
Cliente 18 comprou: Veiculo ID: 126 | Cor: Azul | Tipo: SUV | Estacao: 0 | Funcionario: 3 | Pos_Esteira_Fabrica: 5 | Loja: 3 | Pos_Esteira_Loja: 25
